(Iter. 1) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 2) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 3) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 4) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 5) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 6) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 7) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 8) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}
(Iter. 9) BestSol = Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}

Final Solution: cost=[1265.00], size=[47], elements={0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 32, 35, 36, 40, 45, 48, 49, 50, 52, 53, 56, 58, 59, 60, 64, 71, 76, 79, 81, 91}

--- Finished in 8.03 seconds ---
