(Iter. 1) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 2) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 3) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 4) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 5) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 6) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 7) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 8) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}
(Iter. 9) BestSol = Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}

Final Solution: cost=[26368.93], size=[41], elements={3, 5, 10, 13, 14, 16, 18, 19, 22, 28, 34, 36, 38, 40, 41, 47, 48, 49, 51, 54, 55, 56, 58, 59, 64, 66, 68, 69, 75, 79, 80, 82, 84, 85, 86, 91, 93, 96, 97, 98, 99}

--- Finished in 4.72 seconds ---
