(Iter. 1) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 2) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 3) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 4) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 5) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 6) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 7) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 8) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}
(Iter. 9) BestSol = Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}

Final Solution: cost=[1265.00], size=[59], elements={0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 74, 75, 79, 81, 84, 85, 88}

--- Finished in 32.34 seconds ---
